family,seed,regime,method,n,accuracy,nonabstain_accuracy,balanced_accuracy,unsafe_false_positive_rate,avoidable_false_negative_rate,abstention_rate,precision,recall,f1,mean_test_cost,mean_tests_used,mean_total_cost,stale_unsafe_rate,dominated_rate
A_main,28001,label_swap,eager_eatl,2000,0.966,0.966,0.9656446585976788,0.0235,0.0105,0.0,0.9244372990353698,0.964765100671141,0.9441707717569787,0.10199999999999987,1.0,0.22580000000000172,0.0,0.669
A_main,28001,label_swap,risk_aware_eatl,2000,0.989,0.989,0.9878200347999005,0.0065,0.0045,0.0,0.9783333333333334,0.9848993288590604,0.9816053511705685,0.0642049999999995,0.6475,0.09940500000000022,0.0,0.3305
A_main,28001,label_swap,cached_eatl,2000,0.9735,0.9735,0.9700209373028165,0.015,0.0115,0.0,0.9502487562189055,0.9614093959731543,0.9557964970809006,0.08006999999999966,0.785,0.16197000000000064,0.0,0.519
A_main,28001,label_swap,oracle_hidden_state,2000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A_main,28001,label_swap,random_test_control,2000,0.4915,0.4915,0.49008346239889866,0.3555,0.153,0.0,0.2897102897102897,0.4865771812080537,0.36318096430807767,0.06630000000000039,1.0,1.9356000000000133,0.0,0.4985
A_main,28001,mixed,text_prior,2000,0.8265,0.8265,0.8159425974959955,0.1205,0.053,0.0,0.6292307692307693,0.7941747572815534,0.7021459227467811,0.0,0.0,0.6343,0.0,0.0
A_main,28001,mixed,calibrated_text_prior,2000,0.8265,0.8265,0.8159425974959955,0.1205,0.053,0.0,0.6292307692307693,0.7941747572815534,0.7021459227467811,0.0,0.0,0.6343,0.0,0.0
A_main,28001,mixed,passive_vision_proxy,2000,0.809,0.809,0.8713804713804714,0.191,0.0,0.0,0.5741360089186176,1.0,0.7294617563739376,0.0,0.0,0.955,0.0,0.0
A_main,28001,mixed,uncertainty_vision_proxy,2000,0.809,0.8968957871396895,0.9278510473235067,0.093,0.0,0.098,0.7346647646219686,1.0,0.8470394736842105,0.0,0.0,0.4796999999999984,0.0,0.0
A_main,28001,mixed,conservative_prior,2000,0.7355,0.860233918128655,0.7925474494101945,0.0665,0.053,0.145,0.6305555555555555,0.6816816816816816,0.6551226551226551,0.0,0.0,0.38604999999999867,0.0,0.0
A_main,28001,mixed,eager_eatl,2000,0.9765,0.9765,0.9721257886306429,0.014,0.0095,0.0,0.9465648854961832,0.9631067961165048,0.9547641963426372,0.10199999999999987,1.0,0.1777000000000013,0.0,0.813
A_main,28001,mixed,risk_aware_eatl,2000,0.9805,0.9805,0.972282697525416,0.008,0.0115,0.0,0.968503937007874,0.9553398058252427,0.9618768328445748,0.05717999999999968,0.5775,0.10408000000000016,0.0,0.3945
A_main,28001,mixed,cached_eatl,2000,0.974,0.974,0.9761498479945082,0.021,0.005,0.0,0.923217550274223,0.9805825242718447,0.9510357815442562,0.08720999999999972,0.855,0.19521000000000116,0.0,0.719
A_main,28001,mixed,oracle_hidden_state,2000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A_main,28001,mixed,random_test_control,2000,0.504,0.504,0.5061815566669936,0.37,0.126,0.0,0.2622133599202393,0.5106796116504855,0.3465085638998683,0.06630000000000039,1.0,1.9919000000000162,0.0,0.5045
A_main,28001,adversarial_counterfeit,text_prior,2000,0.7975,0.7975,0.8791010913464495,0.201,0.0015,0.0,0.38153846153846155,0.9880478087649402,0.5504994450610433,0.0,0.0,1.0058999999999998,0.0,0.0
A_main,28001,adversarial_counterfeit,calibrated_text_prior,2000,0.7975,0.7975,0.8791010913464495,0.201,0.0015,0.0,0.38153846153846155,0.9880478087649402,0.5504994450610433,0.0,0.0,1.0058999999999998,0.0,0.0
A_main,28001,adversarial_counterfeit,passive_vision_proxy,2000,0.762,0.762,0.8639222412807319,0.238,0.0,0.0,0.3452544704264099,1.0,0.5132924335378323,0.0,0.0,1.19,0.0,0.0
A_main,28001,adversarial_counterfeit,uncertainty_vision_proxy,2000,0.762,0.879399884593191,0.9294871794871795,0.1045,0.0,0.1335,0.5456521739130434,1.0,0.7060478199718705,0.0,0.0,0.5425249999999987,0.0,0.0
A_main,28001,adversarial_counterfeit,conservative_prior,2000,0.736,0.8608187134502924,0.9140081779393173,0.1175,0.0015,0.145,0.3472222222222222,0.9765625,0.5122950819672131,0.0,0.0,0.61015,0.0,0.0
A_main,28001,adversarial_counterfeit,eager_eatl,2000,0.955,0.955,0.9589156239535853,0.0405,0.0045,0.0,0.7492260061919505,0.9641434262948207,0.843205574912892,0.10199999999999987,1.0,0.3072000000000053,0.0,0.7735
A_main,28001,adversarial_counterfeit,risk_aware_eatl,2000,0.9685,0.9685,0.95980970343896,0.025,0.0065,0.0,0.8263888888888888,0.9482071713147411,0.8831168831168831,0.07766499999999987,0.767,0.20656500000000128,0.0,0.553
A_main,28001,adversarial_counterfeit,cached_eatl,2000,0.959,0.959,0.9458472570552552,0.032,0.009,0.0,0.7845117845117845,0.9282868525896414,0.8503649635036495,0.08618999999999971,0.845,0.25159000000000176,0.0,0.6535
A_main,28001,adversarial_counterfeit,oracle_hidden_state,2000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A_main,28001,adversarial_counterfeit,random_test_control,2000,0.522,0.522,0.5304932357476896,0.4205,0.0575,0.0,0.13920163766632548,0.5418326693227091,0.2214983713355049,0.06630000000000039,1.0,2.203300000000018,0.0,0.5305
A_main,28001,degraded_worn,text_prior,2000,0.856,0.856,0.9120879120879121,0.144,0.0,0.0,0.556923076923077,1.0,0.7154150197628458,0.0,0.0,0.72,0.0,0.0
A_main,28001,degraded_worn,calibrated_text_prior,2000,0.856,0.856,0.9120879120879121,0.144,0.0,0.0,0.556923076923077,1.0,0.7154150197628458,0.0,0.0,0.72,0.0,0.0
A_main,28001,degraded_worn,passive_vision_proxy,2000,0.7655,0.7655,0.8568376068376069,0.2345,0.0,0.0,0.43561973525872444,1.0,0.6068734283319362,0.0,0.0,1.1725,0.0,0.0
A_main,28001,degraded_worn,uncertainty_vision_proxy,2000,0.7655,0.8947983635300993,0.9332839140103781,0.09,0.0,0.1445,0.6678966789667896,1.0,0.8008849557522123,0.0,0.0,0.47167499999999785,0.0,0.0
A_main,28001,degraded_worn,conservative_prior,2000,0.7565,0.8847953216374269,0.9363283775048481,0.0985,0.0,0.145,0.4527777777777778,1.0,0.6233269598470363,0.0,0.0,0.5142499999999978,0.0,0.0
A_main,28001,degraded_worn,eager_eatl,2000,0.9585,0.9585,0.9563728168700545,0.033,0.0085,0.0,0.8394160583941606,0.9530386740331491,0.8926261319534282,0.10199999999999987,1.0,0.2721000000000036,0.0,0.8285
