family,seed,hidden_flip_rate,test_harm_weight,failure_harm,method,n,accuracy,nonabstain_accuracy,balanced_accuracy,unsafe_false_positive_rate,avoidable_false_negative_rate,abstention_rate,precision,recall,f1,mean_test_cost,mean_tests_used,mean_total_cost,stale_unsafe_rate,dominated_rate
B_phase,28101,0.0,0.0,1.0,text_prior,1000,0.992,0.992,0.9908831908831909,0.004,0.004,0.0,0.9876923076923076,0.9876923076923076,0.9876923076923076,0.0,0.0,0.0063999999999999994,0.0,0.0
B_phase,28101,0.0,0.0,1.0,passive_vision_proxy,1000,0.825,0.825,0.8703703703703703,0.175,0.0,0.0,0.65,1.0,0.787878787878788,0.0,0.0,0.175,0.0,0.0
B_phase,28101,0.0,0.0,1.0,conservative_prior,1000,0.847,0.9906432748538012,0.9859259259259259,0.004,0.004,0.145,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.0,0.0,0.02814999999999993,0.0,0.0
B_phase,28101,0.0,0.0,1.0,eager_eatl,1000,0.982,0.982,0.9810826210826211,0.011,0.007,0.0,0.9665653495440729,0.9784615384615385,0.9724770642201835,0.10199999999999945,1.0,0.0152,0.0,0.0
B_phase,28101,0.0,0.0,1.0,risk_aware_eatl,1000,0.985,0.985,0.9809116809116809,0.005,0.01,0.0,0.984375,0.9692307692307692,0.9767441860465116,0.05559000000000012,0.562,0.010999999999999998,0.0,0.0
B_phase,28102,0.0,0.0,1.0,text_prior,1000,0.994,0.994,0.9947604824760621,0.005,0.001,0.0,0.9846153846153847,0.9968847352024922,0.9907120743034056,0.0,0.0,0.0056,0.0,0.0
B_phase,28102,0.0,0.0,1.0,passive_vision_proxy,1000,0.824,0.824,0.8703976435935199,0.176,0.0,0.0,0.6458752515090543,1.0,0.784841075794621,0.0,0.0,0.176,0.0,0.0
B_phase,28102,0.0,0.0,1.0,conservative_prior,1000,0.849,0.9929824561403509,0.9934772057839067,0.005,0.001,0.145,0.9722222222222222,0.9943181818181818,0.9831460674157303,0.0,0.0,0.02734999999999993,0.0,0.0
B_phase,28102,0.0,0.0,1.0,eager_eatl,1000,0.965,0.965,0.9635504842653894,0.022,0.013,0.0,0.9333333333333333,0.9595015576323987,0.946236559139785,0.10199999999999945,1.0,0.029800000000000007,0.0,0.0
B_phase,28102,0.0,0.0,1.0,risk_aware_eatl,1000,0.983,0.983,0.9792690368372033,0.007,0.01,0.0,0.9779874213836478,0.9688473520249221,0.97339593114241,0.05519000000000011,0.557,0.012999999999999998,0.0,0.0
B_phase,28103,0.0,0.0,1.0,text_prior,1000,0.996,0.996,0.9962363550722317,0.003,0.001,0.0,0.9907692307692307,0.9969040247678018,0.9938271604938271,0.0,0.0,0.0036,0.0,0.0
B_phase,28103,0.0,0.0,1.0,passive_vision_proxy,1000,0.824,0.824,0.8700147710487445,0.176,0.0,0.0,0.6472945891783567,1.0,0.7858880778588807,0.0,0.0,0.176,0.0,0.0
B_phase,28103,0.0,0.0,1.0,conservative_prior,1000,0.851,0.9953216374269006,0.9949753539242859,0.003,0.001,0.145,0.9833333333333333,0.9943820224719101,0.9888268156424581,0.0,0.0,0.025349999999999952,0.0,0.0
B_phase,28103,0.0,0.0,1.0,eager_eatl,1000,0.968,0.968,0.9707002757567305,0.025,0.007,0.0,0.9266862170087976,0.978328173374613,0.9518072289156627,0.10199999999999945,1.0,0.029200000000000004,0.0,0.0
B_phase,28103,0.0,0.0,1.0,risk_aware_eatl,1000,0.981,0.981,0.9762542815462498,0.007,0.012,0.0,0.9779874213836478,0.9628482972136223,0.9703588143525742,0.05592000000000009,0.563,0.014199999999999997,0.0,0.0
B_phase,28104,0.0,0.0,1.0,text_prior,1000,0.995,0.995,0.9954973524615696,0.004,0.001,0.0,0.9876923076923076,0.9968944099378882,0.9922720247295209,0.0,0.0,0.0046,0.0,0.0
B_phase,28104,0.0,0.0,1.0,passive_vision_proxy,1000,0.823,0.823,0.8694690265486726,0.177,0.0,0.0,0.6452905811623246,1.0,0.784409257003654,0.0,0.0,0.177,0.0,0.0
B_phase,28104,0.0,0.0,1.0,conservative_prior,1000,0.85,0.9941520467836257,0.9942252887355633,0.004,0.001,0.145,0.9777777777777777,0.9943502824858758,0.9859943977591036,0.0,0.0,0.026349999999999943,0.0,0.0
B_phase,28104,0.0,0.0,1.0,eager_eatl,1000,0.965,0.965,0.9619588119972884,0.02,0.015,0.0,0.9388379204892966,0.953416149068323,0.9460708782742681,0.10199999999999945,1.0,0.02900000000000001,0.0,0.0
B_phase,28104,0.0,0.0,1.0,risk_aware_eatl,1000,0.981,0.981,0.9770195496436358,0.008,0.011,0.0,0.9749216300940439,0.9658385093167702,0.9703588143525741,0.05520000000000011,0.557,0.014599999999999997,0.0,0.0
B_phase,28105,0.0,0.0,1.0,text_prior,1000,0.994,0.994,0.9947604824760621,0.005,0.001,0.0,0.9846153846153847,0.9968847352024922,0.9907120743034056,0.0,0.0,0.0056,0.0,0.0
B_phase,28105,0.0,0.0,1.0,passive_vision_proxy,1000,0.822,0.822,0.8689248895434463,0.178,0.0,0.0,0.6432865731462926,1.0,0.7829268292682927,0.0,0.0,0.178,0.0,0.0
B_phase,28105,0.0,0.0,1.0,conservative_prior,1000,0.849,0.9929824561403509,0.9934772057839067,0.005,0.001,0.145,0.9722222222222222,0.9943181818181818,0.9831460674157303,0.0,0.0,0.02734999999999993,0.0,0.0
B_phase,28105,0.0,0.0,1.0,eager_eatl,1000,0.972,0.972,0.9736326556829495,0.021,0.007,0.0,0.9373134328358209,0.9781931464174455,0.9573170731707318,0.10199999999999945,1.0,0.025200000000000004,0.0,0.0
