hidden_flip_rate,test_harm_weight,failure_harm,best_method,best_total_cost,text_total_cost,eager_eatl_total_cost,risk_aware_eatl_total_cost,risk_minus_text,eager_minus_text
0.0,0.0,1.0,text_prior,0.005266666666666667,0.005266666666666667,0.026500000000000003,0.013466666666666663,0.008199999999999995,0.021233333333333337
0.0,0.0,2.0,text_prior,0.009433333333333334,0.009433333333333334,0.043300000000000005,0.0214,0.011966666666666665,0.03386666666666667
0.0,0.0,5.0,text_prior,0.021933333333333332,0.021933333333333332,0.10859999999999997,0.052166666666666674,0.03023333333333334,0.08666666666666664
0.0,0.0,10.0,text_prior,0.04276666666666667,0.04276666666666667,0.2202333333333333,0.0799,0.03713333333333333,0.17746666666666663
0.0,0.0,20.0,text_prior,0.08443333333333333,0.08443333333333333,0.4257,0.1386333333333333,0.05419999999999997,0.3412666666666667
0.0,0.1,1.0,text_prior,0.007299999999999999,0.007299999999999999,0.040133333333333486,0.019663166666666683,0.012363166666666684,0.032833333333333485
0.0,0.1,2.0,text_prior,0.0133,0.0133,0.058433333333333455,0.026244666666666774,0.012944666666666774,0.045133333333333456
0.0,0.1,5.0,text_prior,0.0313,0.0313,0.12546666666666717,0.05886533333333344,0.02756533333333344,0.09416666666666718
0.0,0.1,10.0,text_prior,0.06130000000000001,0.06130000000000001,0.20156666666666634,0.09020183333333351,0.0289018333333335,0.14026666666666632
0.0,0.1,20.0,risk_aware_eatl,0.11235183333333351,0.12129999999999999,0.40366666666666545,0.11235183333333351,-0.00894816666666648,0.28236666666666543
0.0,0.25,1.0,text_prior,0.005966666666666666,0.005966666666666666,0.05399999999999999,0.02885208333333328,0.022885416666666616,0.048033333333333324
0.0,0.25,2.0,text_prior,0.010633333333333333,0.010633333333333333,0.07153333333333345,0.03079916666666662,0.020165833333333286,0.060900000000000114
0.0,0.25,5.0,text_prior,0.024633333333333333,0.024633333333333333,0.1387000000000009,0.05257791666666671,0.027944583333333377,0.11406666666666757
0.0,0.25,10.0,text_prior,0.04796666666666667,0.04796666666666667,0.25130000000000197,0.08412666666666674,0.03616000000000007,0.2033333333333353
0.0,0.25,20.0,text_prior,0.09463333333333333,0.09463333333333333,0.46786666666666066,0.1603129166666674,0.06567958333333405,0.3732333333333273
0.0,0.5,1.0,text_prior,0.0067333333333333325,0.0067333333333333325,0.07866666666666641,0.040178333333333316,0.03344499999999998,0.07193333333333309
0.0,0.5,2.0,text_prior,0.012066666666666667,0.012066666666666667,0.09719999999999993,0.04869999999999991,0.03663333333333324,0.08513333333333326
0.0,0.5,5.0,text_prior,0.028066666666666667,0.028066666666666667,0.1592000000000003,0.07185499999999989,0.04378833333333322,0.13113333333333366
0.0,0.5,10.0,text_prior,0.054733333333333335,0.054733333333333335,0.2528666666666681,0.12807833333333352,0.07334500000000019,0.1981333333333348
0.0,0.5,20.0,text_prior,0.10806666666666667,0.10806666666666667,0.49690000000000284,0.15645416666666678,0.04838750000000011,0.38883333333333614
0.0,0.75,1.0,text_prior,0.006033333333333333,0.006033333333333333,0.1031000000000006,0.05316916666666706,0.047135833333333724,0.09706666666666726
0.0,0.75,2.0,text_prior,0.010866666666666665,0.010866666666666665,0.12513333333333373,0.06697875000000049,0.056112083333333826,0.11426666666666707
0.0,0.75,5.0,text_prior,0.025366666666666666,0.025366666666666666,0.18503333333333327,0.08554583333333382,0.06017916666666716,0.1596666666666666
0.0,0.75,10.0,text_prior,0.04953333333333334,0.04953333333333334,0.27459999999999896,0.1325612500000003,0.08302791666666695,0.2250666666666656
0.0,0.75,20.0,text_prior,0.09786666666666667,0.09786666666666667,0.5241999999999976,0.1841629166666666,0.08629624999999992,0.4263333333333309
0.0,1.0,1.0,text_prior,0.005166666666666667,0.005166666666666667,0.13149999999999923,0.06841833333333339,0.06325166666666672,0.12633333333333258
