family,seed,method,n,accuracy,nonabstain_accuracy,balanced_accuracy,unsafe_false_positive_rate,avoidable_false_negative_rate,abstention_rate,precision,recall,f1,mean_test_cost,mean_tests_used,mean_total_cost,stale_unsafe_rate,dominated_rate
D_cache_validity,28301,no_cache,8000,0.97475,0.97475,0.9717895163229915,0.02425,0.001,0.0,0.5600907029478458,0.9686274509803922,0.7097701149425287,0.10309293750000893,1.0,0.22494293749997948,0.0,0.0
D_cache_validity,28301,strict_cache,8000,0.975875,0.975875,0.9666818567323637,0.02275,0.001375,0.0,0.5727699530516432,0.9568627450980393,0.7165932452276065,0.056899687500000774,0.547375,0.17147468749999561,0.009,0.0
D_cache_validity,28301,label_only_cache,8000,0.709875,0.709875,0.7970670514816642,0.286625,0.0035,0.0,0.09007936507936508,0.8901960784313725,0.1636036036036036,0.0025936875,0.025,1.4378186875000019,0.286,0.0
D_cache_validity,28301,ttl_cache,8000,0.944125,0.944125,0.9408030481398499,0.053875,0.002,0.0,0.3567164179104478,0.9372549019607843,0.5167567567567568,0.018033812499999906,0.175,0.288608812499997,0.04925,0.0
D_cache_validity,28301,demand_compatible_cache,8000,0.94325,0.94325,0.9270775579437714,0.053875,0.002875,0.0,0.34992458521870284,0.9098039215686274,0.5054466230936818,0.02511549999999999,0.240375,0.2962154999999949,0.0465,0.0
D_cache_validity,28302,no_cache,8000,0.974,0.974,0.9754058512775499,0.025,0.001,0.0,0.6289424860853432,0.9769452449567724,0.765237020316027,0.1030896250000088,1.0,0.22868962499997855,0.0,0.0
D_cache_validity,28302,strict_cache,8000,0.9715,0.9715,0.9809771158284539,0.028125,0.000375,0.0,0.6045694200351494,0.9913544668587896,0.7510917030567685,0.05490068750000082,0.52775,0.19575068749999097,0.013875,0.0
D_cache_validity,28302,label_only_cache,8000,0.713125,0.713125,0.8211714454522553,0.28425,0.002625,0.0,0.12538461538461537,0.9394812680115274,0.2212419409569053,0.0025804375000000003,0.025,1.4254054375000025,0.283625,0.0
D_cache_validity,28302,ttl_cache,8000,0.940625,0.940625,0.9428302400482604,0.057,0.002375,0.0,0.41836734693877553,0.9452449567723343,0.5800176834659593,0.018038499999999912,0.175,0.3044634999999959,0.051625,0.0
D_cache_validity,28302,demand_compatible_cache,8000,0.94625,0.94625,0.8934979068689418,0.046625,0.007125,0.0,0.4374057315233786,0.8357348703170029,0.5742574257425742,0.029604250000000044,0.28275,0.2670042499999944,0.039375,0.0
D_cache_validity,28303,no_cache,8000,0.97375,0.97375,0.9709340072010295,0.02475,0.0015,0.0,0.6457960644007156,0.967828418230563,0.7746781115879827,0.10311393750000891,1.0,0.22776393749997764,0.0,0.0
D_cache_validity,28303,strict_cache,8000,0.97575,0.97575,0.9719829124062216,0.02275,0.0015,0.0,0.6648250460405156,0.967828418230563,0.7882096069868995,0.0573478125000008,0.550625,0.1719978124999936,0.008875,0.0
D_cache_validity,28303,label_only_cache,8000,0.736625,0.736625,0.8108752558551864,0.258375,0.005,0.0,0.13875,0.8927613941018767,0.24017309772809234,0.002582,0.025,1.297457000000003,0.25825,0.0
