regime,method,n,accuracy,unsafe_false_positive_rate,avoidable_false_negative_rate,precision,recall,f1,mean_test_cost
label_preserving_flips,eatl,15000,0.9715333333333334,0.0218,0.006666666666666667,0.9029961435775734,0.9681933842239185,0.9344589409056023,0.09499999999998555
label_preserving_flips,text_prior,15000,0.8337333333333333,0.13353333333333334,0.032733333333333337,0.5698024054982818,0.8438295165394402,0.6802564102564103,0.0
label_preserving_flips,vision_proxy,15000,0.7866666666666666,0.20726666666666665,0.006066666666666666,0.49545602077247647,0.9710559796437659,0.6561358263485924,0.0
label_swap,eatl,15000,0.9705333333333334,0.0202,0.009266666666666666,0.9406580493537016,0.971873735329826,0.9560111464968154,0.09499999999998555
label_swap,text_prior,15000,0.679,0.15173333333333333,0.16926666666666668,0.5135712759136568,0.48624038850667745,0.49953227315247895,0.0
label_swap,vision_proxy,15000,0.8400666666666666,0.14993333333333334,0.01,0.6805851441556597,0.9696479158235533,0.7997997162647085,0.0
mixed,eatl,15000,0.9563333333333334,0.030533333333333332,0.013133333333333334,0.9016534249516857,0.955186533212011,0.9276482933834088,0.09499999999998555
mixed,text_prior,15000,0.7974666666666667,0.11333333333333333,0.0892,0.6427070197562,0.6956323930846224,0.668123224819751,0.0
mixed,vision_proxy,15000,0.8194666666666667,0.16966666666666666,0.010866666666666667,0.6245205075243435,0.9629208371246588,0.757651691426526,0.0
typical,eatl,15000,0.9802,0.013933333333333334,0.005866666666666667,0.9591876586604179,0.9824,0.9706550736093272,0.09499999999998555
typical,text_prior,15000,0.9170666666666667,0.0286,0.05433333333333333,0.9070221066319896,0.837,0.8706053671728727,0.0
typical,vision_proxy,15000,0.8501333333333333,0.14246666666666666,0.0074,0.6958440079703957,0.9778,0.8130716780309329,0.0
